need_name,need_id,start_date,start_time,duration,slots
Juniors Scrimmages - Non-Skating Officials,628862,2024-08-10,14:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-08-10,14:30,60,20
Juniors Scrimmages - Non-Skating Officials,628862,2024-08-10,15:30,60,20
Juniors Scrimmages - Skating Officials,607810,2024-08-10,15:30,60,20
